number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,user_attrs_threshold,user_attrs_val_acc,state
50,0.756336405529954,2026-06-24 19:01:38.879239,2026-06-24 19:01:39.213080,0 days 00:00:00.333841,3.5628043822013193,0.6561822341073741,0.40240053726211694,4.998880460090907,0.6877174280617128,0.06800963279015222,3,10,335,0.7690296840126236,0.6000000000000003,0.7848605577689243,COMPLETE
51,0.7473544973544973,2026-06-24 19:01:39.257541,2026-06-24 19:01:39.599135,0 days 00:00:00.341594,3.6989515825525694,0.3503171979440101,0.47622800999477516,4.096148579760639,1.7305902929819672,0.09839122496694906,3,30,670,0.7894916755213296,0.6800000000000004,0.7808764940239044,COMPLETE
52,0.7514507595152756,2026-06-24 19:01:39.645522,2026-06-24 19:01:40.146930,0 days 00:00:00.501408,5.350778216600276,0.31896201558794984,0.45905291781970375,3.8205754584216556,1.880308488536142,0.08397381055713282,3,22,638,0.7976943408453004,0.6900000000000004,0.7828685258964143,COMPLETE
53,0.7558243727598567,2026-06-24 19:01:40.194175,2026-06-24 19:01:40.507577,0 days 00:00:00.313402,0.27579109214399,0.3426562953553282,0.524895069754183,3.5171478532146896,2.254690084999319,0.0454443194035543,3,37,731,0.8497427001829324,0.4400000000000001,0.8047808764940239,COMPLETE
54,0.7468744666325312,2026-06-24 19:01:40.552665,2026-06-24 19:01:40.888218,0 days 00:00:00.335553,8.476129933986497,0.36687734126894034,0.47762829239273585,4.722788022219901,0.953823930828968,0.09860754565641401,4,29,243,0.8064173085992036,0.5100000000000002,0.7848605577689243,COMPLETE
55,0.7523254821641919,2026-06-24 19:01:40.934432,2026-06-24 19:01:41.396723,0 days 00:00:00.462291,1.3839634288619054,0.4580290602419929,0.43383789845928505,4.177643193923318,19.663739373524614,0.006193883652463537,3,31,550,0.5017587960301845,0.34,0.7928286852589641,COMPLETE
56,0.759941969619389,2026-06-24 19:01:41.442723,2026-06-24 19:01:42.045282,0 days 00:00:00.602559,4.536433025848375,0.3127952534924826,0.5016134327603956,4.428030370420527,1.226007311142685,0.07149769459097674,4,24,667,0.7767670488920247,0.6500000000000004,0.7868525896414342,COMPLETE
57,0.7473118279569891,2026-06-24 19:01:42.090510,2026-06-24 19:01:42.644215,0 days 00:00:00.553705,6.328785053828453,0.31764912174977217,0.6162848306643712,4.459124540693996,1.240795950062165,0.06879104082111383,4,24,708,0.708327047000425,0.5000000000000002,0.7828685258964143,COMPLETE
58,0.7533922171018945,2026-06-24 19:01:42.690537,2026-06-24 19:01:43.243657,0 days 00:00:00.553120,4.581973698962429,0.5385053515816903,0.5694873306885,4.623845922340484,1.5066163709933338,0.049277787158155624,4,21,581,0.7732328849786557,0.6700000000000004,0.7888446215139442,COMPLETE
59,0.7501386755419014,2026-06-24 19:01:43.288900,2026-06-24 19:01:43.654282,0 days 00:00:00.365382,9.774102251407491,0.41218236495080807,0.5030208294045582,4.376459195330496,0.7596606154391228,0.01023075108200065,4,17,757,0.7466728019187853,0.39000000000000007,0.7908366533864541,COMPLETE
60,0.748037207714627,2026-06-24 19:01:43.700444,2026-06-24 19:01:44.082121,0 days 00:00:00.381677,2.7275916334761483,0.3046539982752398,0.37425570309385064,3.314210537980389,0.5300887615211228,0.07379519332104414,4,25,506,0.6773324464793915,0.6100000000000003,0.798804780876494,COMPLETE
61,0.7493386243386244,2026-06-24 19:01:44.126756,2026-06-24 19:01:44.436858,0 days 00:00:00.310102,3.4844099464435905,0.3423087429834717,0.4667493184881545,3.9175615076755115,1.2598565150396905,0.08856083917127883,3,34,674,0.7846468050752888,0.6700000000000004,0.7928286852589641,COMPLETE
62,0.7553976787847756,2026-06-24 19:01:44.483109,2026-06-24 19:01:44.857962,0 days 00:00:00.374853,1.8414214271045826,0.3589017666627291,0.5213275538969164,4.833733890291403,0.8977213513464603,0.05572819080149914,4,26,612,0.7376516932296805,0.48000000000000015,0.7908366533864541,COMPLETE
63,0.7530721966205838,2026-06-24 19:01:44.902866,2026-06-24 19:01:45.264327,0 days 00:00:00.361461,5.29587219715978,0.38931871684449953,0.41490163913540407,4.174190413214291,1.6567461943051478,0.07674457327083878,3,36,647,0.8167751458777598,0.5800000000000003,0.798804780876494,COMPLETE
64,0.7386712749615976,2026-06-24 19:01:45.308632,2026-06-24 19:01:45.700601,0 days 00:00:00.391969,7.008138027970892,0.33144184499950846,0.4927875371281673,3.6787441727534125,3.199215728652691,0.0659643898258414,4,39,460,0.756971663995526,0.5100000000000002,0.7928286852589641,COMPLETE
65,0.749658644819935,2026-06-24 19:01:45.747316,2026-06-24 19:01:46.126638,0 days 00:00:00.379322,4.249221637660378,0.3006194215663395,0.544645495907508,2.825649053274123,2.5189791597407516,0.04126119609886724,4,28,365,0.8666691264549116,0.4500000000000001,0.7928286852589641,COMPLETE
66,0.7526668373442567,2026-06-24 19:01:46.172377,2026-06-24 19:01:46.750574,0 days 00:00:00.578197,2.5724172096791755,0.37753131867374523,0.32521786368856537,3.970013994508744,3.956429314822267,0.06144274192969515,5,23,663,0.7792370855077025,0.5600000000000003,0.7868525896414342,COMPLETE
67,0.7481225465096434,2026-06-24 19:01:46.795088,2026-06-24 19:01:47.174516,0 days 00:00:00.379428,3.882958968197714,0.4298201611676403,0.43452946330431924,3.493914650149523,5.552304488701647,0.05002518410472265,3,32,175,0.6423972008247527,0.6100000000000003,0.7868525896414342,COMPLETE
68,0.7319295101553166,2026-06-24 19:01:47.220090,2026-06-24 19:01:47.676534,0 days 00:00:00.456444,2.987175924473312,0.4859779604849145,0.5705592383084487,4.531498398788617,1.0484768790328278,0.07721475231513991,2,19,616,0.8147186263928476,0.6100000000000003,0.7828685258964143,COMPLETE
69,0.7299880525686977,2026-06-24 19:01:47.722790,2026-06-24 19:01:48.106388,0 days 00:00:00.383598,2.09694951935515,0.31776514136314626,0.5119846519053418,3.212395652420509,1.3739826866298959,0.08851620437816386,4,29,438,0.5319501297331344,0.6900000000000004,0.7948207171314741,COMPLETE
70,0.7422768390510325,2026-06-24 19:01:48.152569,2026-06-24 19:01:48.517130,0 days 00:00:00.364561,6.02671373312006,0.3434934393702934,0.4665754324947335,4.797367492115334,0.8501629605726719,0.07008370330871962,5,27,60,0.5951332919919624,0.6600000000000004,0.7788844621513944,COMPLETE
71,0.7634621949138078,2026-06-24 19:01:48.563212,2026-06-24 19:01:49.060419,0 days 00:00:00.497207,0.10844292468721148,0.5320382341140529,0.7466083797317892,2.4613651192056945,2.22988088314687,0.012264856712175788,4,40,78,0.722877833983334,0.4100000000000001,0.798804780876494,COMPLETE
72,0.7522294760197986,2026-06-24 19:01:49.104683,2026-06-24 19:01:49.451256,0 days 00:00:00.346573,0.10384694162069893,0.5261765737451495,0.7287177202471505,2.3862519489421152,1.997246891163657,0.014335988257298276,4,46,97,0.7165567838820235,0.38000000000000006,0.8007968127490039,COMPLETE
73,0.7561337258917906,2026-06-24 19:01:49.498389,2026-06-24 19:01:49.952158,0 days 00:00:00.453769,0.22097151382060565,0.49730063978031547,0.6638344375782175,2.5747814346769933,1.5608618994584103,0.009193655275407686,4,41,74,0.7900741055145337,0.35000000000000003,0.7908366533864541,COMPLETE
74,0.7650836320191159,2026-06-24 19:01:49.995750,2026-06-24 19:01:50.735247,0 days 00:00:00.739497,0.12124501620385883,0.3636797459382321,0.7068315909660547,2.0914264961081352,2.9680219699723924,0.016433446917486827,4,21,165,0.7659838843772008,0.5500000000000003,0.7948207171314741,COMPLETE
75,0.7594512715480457,2026-06-24 19:01:50.779566,2026-06-24 19:01:51.159498,0 days 00:00:00.379932,0.13737170717572963,0.5730347662445677,0.7345699075833176,2.085065192337801,2.9947314124241977,0.015891000624513908,4,20,143,0.7627449678959091,0.5500000000000003,0.7908366533864541,COMPLETE
76,0.7584912101041134,2026-06-24 19:01:51.204834,2026-06-24 19:01:51.812776,0 days 00:00:00.607942,0.14892815465856246,0.5796923025096127,0.7473175742903666,2.090191462318781,2.9986599581345055,0.01931612154381101,4,22,121,0.7609266870539769,0.6300000000000003,0.7908366533864541,COMPLETE
77,0.7578298344427378,2026-06-24 19:01:51.858238,2026-06-24 19:01:52.339094,0 days 00:00:00.480856,0.11904523346386654,0.5844894354854664,0.7574872832037175,2.052730192373507,2.8974145755040954,0.018747421638705953,4,21,123,0.7667303621845593,0.6000000000000003,0.7908366533864541,COMPLETE
78,0.7565604198668714,2026-06-24 19:01:52.385244,2026-06-24 19:01:52.779027,0 days 00:00:00.393783,0.1370666121732586,0.6154860882823115,0.7997365663111774,1.2629685365103556,3.7083953613931575,0.013165368920835835,4,23,163,0.7477429899917694,0.4000000000000001,0.796812749003984,COMPLETE
79,0.7598779655231267,2026-06-24 19:01:52.824269,2026-06-24 19:01:53.168251,0 days 00:00:00.343982,0.08543818197896963,0.5640356592968818,0.7006888052899743,1.6745099327091002,2.9640334590782573,0.016675941129321407,4,43,118,0.7296755332745636,0.4000000000000001,0.796812749003984,COMPLETE
